CD_UF;NM_UF;CD_MUNIC;NM_MUNIC;ID_LI;CD_LI;OCORRENCIA;NM_LI;CD_SETOR;SITUACAO;CD_SIT;CD_TIPO;CD_AGLOM;NM_AGLOM;CD_TI;TI_FUNAI;NM_TI;FASE;C_CR_FUNAI;N_CR_FUNAI;ALD_FUNAI;VAL_FUNAI;ALD_SIASI;VAL_SIASI;AMZ_LEG;LAT;LONG
26;Pernambuco;2610905;Pesqueira;2600063;2610152;1;Aldeia Indígena Pé de Serra do Oiti de São Sebastião;261090505000057;Rural;5;5;261090500018;Aldeia Indígena Pé de Serra do Oiti/Pé de Serra de São Sebastião;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;4875;2;48973;1;;-8.288774138901626;-36.68297497222222
26;Pernambuco;2610905;Pesqueira;2600064;2610187;1;Aldeia Indígena Guarda;261090510000014;Rural;5;5;261090500071;Aldeia Indigena Guarda 2;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;1149;2;51389;1;;-8.36072577779063;-36.81310147222222
26;Pernambuco;2610905;Pesqueira;2600065;2610133;1;Aldeia Indígena Oiti;261090505000111;Rural;5;5;261090500051;Aldeia Indígena Pé de Serra do Oiti;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;3910;2;50619;1;;-8.28679130556829;-36.692356
26;Pernambuco;2603009;Cabrobó;2600067;2610180;1;Aldeia Indígena Camaleão;260300905000027;Rural;5;5;260300900013;Aldeia Indígena Camaleão;50111;46601;Truká;Regularizada;30202001983;Baixo São Francisco;;;49731;1;;-8.51825358334643;-39.39234086111111
26;Pernambuco;2610905;Pesqueira;2600068;2610208;1;Aldeia Indígena Pedra d'Água;261090505000052;Rural;5;5;261090500015;Aldeia Indígena Pedra D'água;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;3032;1;;;;-8.337006305568366;-36.697680416666664
26;Pernambuco;2614808;Tacaratu;2600071;2610300;1;Aldeia Indígena Tapera;261480805000022;Rural;5;5;261480800008;Aldeia Indígena Tapera;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;;;47785;1;;-9.144560750014076;-38.173852777777775
26;Pernambuco;2603009;Cabrobó;2600072;2610112;3;Aldeia Indígena Ilha da Assunção;260300905000058;Rural;5;5;260300900029;Aldeia Indígena Cajueiro;50111;46601;Truká;Regularizada;30202001983;Baixo São Francisco;3887;2;47651;1;;-8.529456583346446;-39.4360033888889
26;Pernambuco;2610905;Pesqueira;2600073;2610187;2;Aldeia Indígena Guarda;261090505000151;Rural;5;5;261090500030;Aldeia Indígena Guarda 1;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;1149;2;51389;1;;-8.36879361112397;-36.81552694444444
26;Pernambuco;2608057;Jatobá;2600076;2610333;2;Aldeia Indígena Caldeirão;260805720000004;Rural;5;5;260805700005;Aldeia Indígena Caldeirão;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;;;49216;1;;-9.159574166680766;-38.21029466666667
26;Pernambuco;2609808;Orocó;2600077;2610103;1;Aldeia Indígena Ilha da Tapera;260980805000046;Rural;7;5;260980800018;Aldeia Indígena Ilha da Tapera 1;50804;67501;Ilhas da Tapera/São Félix/Porto;Encaminhada RI;30202001983;Baixo São Francisco;2108;2;48491;1;;-8.60950165089344;-39.581087012639344
26;Pernambuco;2603009;Cabrobó;2600078;2610083;1;Aldeia Indígena Redenção;260300905000052;Rural;7;5;260300900020;Aldeia Indígena Redenção;50751;46602;Truká;Declarada;30202001983;Baixo São Francisco;2330;2;49537;1;;-8.509318972235302;-39.35463444444444
26;Pernambuco;2605707;Floresta;2600079;2610357;1;Aldeia Indígena Faveleira;260570710000007;Rural;5;5;260570700003;Aldeia Indígena Faveleira (Airi);6335;20201;Kambiwá;Regularizada;30202001969;Nordeste I;2897;2;51367;1;;-8.630393777791053;-37.973379305555554
26;Pernambuco;2609808;Orocó;2600080;2610179;1;Aldeia Indígena Ilha de São Félix 1;260980805000046;Rural;7;5;260980800018;Aldeia Indígena Ilha da Tapera 1;50804;67501;Ilhas da Tapera/São Félix/Porto;Encaminhada RI;30202001983;Baixo São Francisco;;;;;;-8.608326915685971;-39.58000985
26;Pernambuco;2610905;Pesqueira;2600082;2610273;1;Aldeia Indígena Capim de Planta;261090505000059;Rural;5;5;261090500020;Aldeia Indígena Capim de Planta;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;1397;2;49790;1;;-8.283384361123836;-36.655350166666665
26;Pernambuco;2603926;Carnaubeira da Penha;2600083;2610129;1;Aldeia Indígena Estreito;260392605000052;Rural;5;5;260392600029;Aldeia Indigena Estreito;6300;4501;Atikum;Regularizada;30202001983;Baixo São Francisco;2906;1;47507;1;;-8.288475138901624;-38.852486388888885
26;Pernambuco;2614808;Tacaratu;2600084;2610134;1;Aldeia Indígena Olho d'Água do Julião;261480805000059;Rural;5;5;261480800038;Aldeia Indígena Olho D'água do Julião;50107;11301;Entre Serras;Regularizada;30202001983;Baixo São Francisco;3345;2;50479;1;;-9.142895222236296;-38.142308722222225
26;Pernambuco;2605707;Floresta;2600088;2610182;1;Aldeia Indígena Capoeira do Barro;260570710000013;Rural;7;5;260570700011;Aldeia Indigena Capoeira do Barro;6335;20201;Kambiwá;Regularizada;30202001969;Nordeste I;1974;2;47120;1;;-8.595812638902109;-37.94360858333334
26;Pernambuco;2609808;Orocó;2600092;2610178;1;Aldeia Indígena São Felix;260980805000041;Rural;5;5;260980800021;Aldeia Indigena Ilha De São Felix 2;50804;67501;Ilhas da Tapera/São Félix/Porto;Encaminhada RI;30202001983;Baixo São Francisco;2266;2;47427;1;;-8.610135527791018;-39.56709441666667
26;Pernambuco;2606606;Ibimirim;2600095;2610416;1;Sítio Serra do Periquito;260660605000078;Rural;8;;;;6335;20201;Kambiwá;Regularizada;30202001969;Nordeste I;;;;;;-8.65008099970272;-37.832119
